id	cdempresa	dsempresa	cdempresasimop	dsdescontarintervalo	dssiglasimop	linhaid	cdlinha	dslinha
2	BOA	"BORBOREMA IMPERIAL TRANSPORTES LTDA"	008	S	BB	29	029	"SHOPPING RIOMAR/OLINDA (LINHA ESPECIAL CARNAVAL)"
2	BOA	"BORBOREMA IMPERIAL TRANSPORTES LTDA"	008	S	BB	30	030	"TI RIO DOCE / BARRA DE JANGADA"
2	BOA	"BORBOREMA IMPERIAL TRANSPORTES LTDA"	008	S	BB	31	031	"SHOPPING CENTER (TER. RES. BOA VIAGEM)"
2	BOA	"BORBOREMA IMPERIAL TRANSPORTES LTDA"	008	S	BB	32	032	"SETÚBAL (CONDE DA BOA VISTA)"
2	BOA	"BORBOREMA IMPERIAL TRANSPORTES LTDA"	008	S	BB	33	033	AEROPORTO
2	BOA	"BORBOREMA IMPERIAL TRANSPORTES LTDA"	008	S	BB	36	036	"AEROPORTO (BACURAU)"
2	BOA	"BORBOREMA IMPERIAL TRANSPORTES LTDA"	008	S	BB	38	038	"RESIDENCIAL BOA VIAGEM (BACURAU)"
2	BOA	"BORBOREMA IMPERIAL TRANSPORTES LTDA"	008	S	BB	39	039	"SETÚBAL (PRÍNCIPE)"
2	BOA	"BORBOREMA IMPERIAL TRANSPORTES LTDA"	008	S	BB	41	041	"SETÚBAL (OPCIONAL)"
2	BOA	"BORBOREMA IMPERIAL TRANSPORTES LTDA"	008	S	BB	42	042	"AEROPORTO (OPCIONAL)"
2	BOA	"BORBOREMA IMPERIAL TRANSPORTES LTDA"	008	S	BB	43	043	"AEROPORTO / TACARUNA (DERBY)"
2	BOA	"BORBOREMA IMPERIAL TRANSPORTES LTDA"	008	S	BB	44	044	"MASSANGANA (BOA VISTA)"
2	BOA	"BORBOREMA IMPERIAL TRANSPORTES LTDA"	008	S	BB	46	046	"PARQTEL / ARENA"
2	BOA	"BORBOREMA IMPERIAL TRANSPORTES LTDA"	008	S	BB	47	047	"TI COSME E DAMIÃO / ARENA"
2	BOA	"BORBOREMA IMPERIAL TRANSPORTES LTDA"	008	S	BB	48	048	"TI TIP / ARENA"
2	BOA	"BORBOREMA IMPERIAL TRANSPORTES LTDA"	008	S	BB	49	049	"TI TIP / MORENO (BR-232)"
2	BOA	"BORBOREMA IMPERIAL TRANSPORTES LTDA"	008	S	BB	50	050	"TI PE-15 / BOA VIAGEM"
2	BOA	"BORBOREMA IMPERIAL TRANSPORTES LTDA"	008	S	BB	53	053	"SHOPPING RIO MAR (OPCIONAL)"
2	BOA	"BORBOREMA IMPERIAL TRANSPORTES LTDA"	008	S	BB	57	057	"ILHA DO RETIRO / ARENA (VIA ABDIAS DE CARVALHO)"
2	BOA	"BORBOREMA IMPERIAL TRANSPORTES LTDA"	008	S	BB	59	059	"TI JOANA BEZERRA (BILHETERIA)"
2	BOA	"BORBOREMA IMPERIAL TRANSPORTES LTDA"	008	S	BB	60	060	"TI TANCREDO NEVES/TI MACAXEIRA"
2	BOA	"BORBOREMA IMPERIAL TRANSPORTES LTDA"	008	S	BB	61	061	PIEDADE
2	BOA	"BORBOREMA IMPERIAL TRANSPORTES LTDA"	008	S	BB	62	062	"JARDIM PIEDADE"
2	BOA	"BORBOREMA IMPERIAL TRANSPORTES LTDA"	008	S	BB	63	063	"JARDIM PIEDADE (BACURAU)"
2	BOA	"BORBOREMA IMPERIAL TRANSPORTES LTDA"	008	S	BB	64	064	"PIEDADE (OPCIONAL)"
2	BOA	"BORBOREMA IMPERIAL TRANSPORTES LTDA"	008	S	BB	65	069	"CONJ. CATAMARÃ"
2	BOA	"BORBOREMA IMPERIAL TRANSPORTES LTDA"	008	S	BB	66	070	"CANDEIAS / SHOPPING RIOMAR"
2	BOA	"BORBOREMA IMPERIAL TRANSPORTES LTDA"	008	S	BB	67	071	CANDEIAS
2	BOA	"BORBOREMA IMPERIAL TRANSPORTES LTDA"	008	S	BB	68	072	"CANDEIAS (OPCIONAL)"
2	BOA	"BORBOREMA IMPERIAL TRANSPORTES LTDA"	008	S	BB	69	073	"CANDEIAS (BACURAU)"
2	BOA	"BORBOREMA IMPERIAL TRANSPORTES LTDA"	008	S	BB	71	080	"TI JOANA BEZERRA / BOA VIAGEM"
2	BOA	"BORBOREMA IMPERIAL TRANSPORTES LTDA"	008	S	BB	84	110	"IBURA / TI PRAZERES"
2	BOA	"BORBOREMA IMPERIAL TRANSPORTES LTDA"	008	S	BB	89	115	"TI AEROPORTO / TI AFOGADOS"
2	BOA	"BORBOREMA IMPERIAL TRANSPORTES LTDA"	008	S	BB	92	118	"PRAZERES / BOA VIAGEM"
2	BOA	"BORBOREMA IMPERIAL TRANSPORTES LTDA"	008	S	BB	94	120	"ALTO DOIS CARNEIROS / SHOPPING RECIFE"
2	BOA	"BORBOREMA IMPERIAL TRANSPORTES LTDA"	008	S	BB	95	121	"VILA DA SUDENE"
2	BOA	"BORBOREMA IMPERIAL TRANSPORTES LTDA"	008	S	BB	96	122	"VILA DO IPSEP"
2	BOA	"BORBOREMA IMPERIAL TRANSPORTES LTDA"	008	S	BB	98	124	"TI TANCREDO NEVES / VILA DO SESI"
2	BOA	"BORBOREMA IMPERIAL TRANSPORTES LTDA"	008	S	BB	99	125	"CÓRREGO DA GAMELEIRA / TI TANCREDO NEVES"
2	BOA	"BORBOREMA IMPERIAL TRANSPORTES LTDA"	008	S	BB	104	130	"TI CAJUEIRO SECO (BILHETERIA)"
2	BOA	"BORBOREMA IMPERIAL TRANSPORTES LTDA"	008	S	BB	106	132	"TI TANCREDO NEVES / UR-02 (IBURA)"
2	BOA	"BORBOREMA IMPERIAL TRANSPORTES LTDA"	008	S	BB	116	142	"TI TANCREDO NEVES / ALTO DOIS CARNEIROS"
2	BOA	"BORBOREMA IMPERIAL TRANSPORTES LTDA"	008	S	BB	125	151	"JARDIM JORDÃO / TI AEROPORTO"
2	BOA	"BORBOREMA IMPERIAL TRANSPORTES LTDA"	008	S	BB	126	152	"JORDÃO BAIXO / TI AEROPORTO"
2	BOA	"BORBOREMA IMPERIAL TRANSPORTES LTDA"	008	S	BB	127	153	"JORDÃO ALTO / TI AEROPORTO"
2	BOA	"BORBOREMA IMPERIAL TRANSPORTES LTDA"	008	S	BB	128	154	"JORDÃO (BACURAU)"
2	BOA	"BORBOREMA IMPERIAL TRANSPORTES LTDA"	008	S	BB	129	155	"JORDÃO BAIXO / BOA VIAGEM"
2	BOA	"BORBOREMA IMPERIAL TRANSPORTES LTDA"	008	S	BB	135	161	"TI AEROPORTO/TI PRAZERES"
2	BOA	"BORBOREMA IMPERIAL TRANSPORTES LTDA"	008	S	BB	136	162	"MURIBECA / TI CAJUEIRO SECO"
2	BOA	"BORBOREMA IMPERIAL TRANSPORTES LTDA"	008	S	BB	137	163	"TI CAJUEIRO SECO (CIRCULAR)"
2	BOA	"BORBOREMA IMPERIAL TRANSPORTES LTDA"	008	S	BB	138	164	"MARCOS FREIRE / TI CAJUEIRO SECO"
2	BOA	"BORBOREMA IMPERIAL TRANSPORTES LTDA"	008	S	BB	139	165	"MURIBECA DOS GUARARAPES / TI CAJUEIRO SECO"
2	BOA	"BORBOREMA IMPERIAL TRANSPORTES LTDA"	008	S	BB	140	166	"TI CAJUEIRO SECO (RUA DO SOL)"
2	BOA	"BORBOREMA IMPERIAL TRANSPORTES LTDA"	008	S	BB	144	170	"MURIBECA DOS GUARARAPES (BACURAU)"
2	BOA	"BORBOREMA IMPERIAL TRANSPORTES LTDA"	008	S	BB	145	171	"LOT. INTEGRAÇÃO / TI CAJUEIRO SECO"
2	BOA	"BORBOREMA IMPERIAL TRANSPORTES LTDA"	008	S	BB	146	172	"MARCOS FREIRE (BACURAU)"
2	BOA	"BORBOREMA IMPERIAL TRANSPORTES LTDA"	008	S	BB	154	180	"ALTO DOIS CARNEIROS / BOA VIAGEM"
2	BOA	"BORBOREMA IMPERIAL TRANSPORTES LTDA"	008	S	BB	164	190	"UR-11 / IPSEP"
2	BOA	"BORBOREMA IMPERIAL TRANSPORTES LTDA"	008	S	BB	174	200	"TI JABOATÃO (PARADOR)"
2	BOA	"BORBOREMA IMPERIAL TRANSPORTES LTDA"	008	S	BB	175	201	"MORENO / TI JABOATÃO"
2	BOA	"BORBOREMA IMPERIAL TRANSPORTES LTDA"	008	S	BB	180	206	"TI BARRO / TI PRAZERES (JORDÃO)"
2	BOA	"BORBOREMA IMPERIAL TRANSPORTES LTDA"	008	S	BB	182	208	"NOSSA SENHORA DA CONCEIÇÃO / TI JABOATÃO"
2	BOA	"BORBOREMA IMPERIAL TRANSPORTES LTDA"	008	S	BB	192	219	"TI TIP / TI JABOATÃO (SANCHO)"
2	BOA	"BORBOREMA IMPERIAL TRANSPORTES LTDA"	008	S	BB	223	258	"MORENO (BACURAU)"
2	BOA	"BORBOREMA IMPERIAL TRANSPORTES LTDA"	008	S	BB	243	290	"TI JABOATÃO / BONANÇA"
2	BOA	"BORBOREMA IMPERIAL TRANSPORTES LTDA"	008	S	BB	247	301	"TIP (CIRCULAR) (BR-232)"
2	BOA	"BORBOREMA IMPERIAL TRANSPORTES LTDA"	008	S	BB	250	304	"CIRCULAR ( CURADOS)"
2	BOA	"BORBOREMA IMPERIAL TRANSPORTES LTDA"	008	S	BB	260	320	"CURADO I / TI SANTA LUZIA"
2	BOA	"BORBOREMA IMPERIAL TRANSPORTES LTDA"	008	S	BB	266	331	"TOTÓ (JARDIM PLANALTO)"
2	BOA	"BORBOREMA IMPERIAL TRANSPORTES LTDA"	008	S	BB	267	332	"TOTÓ (ABDIAS DE CARVALHO)"
2	BOA	"BORBOREMA IMPERIAL TRANSPORTES LTDA"	008	S	BB	268	333	"TOTÓ (BACURAU)"
2	BOA	"BORBOREMA IMPERIAL TRANSPORTES LTDA"	008	S	BB	271	341	"CURADO I"
2	BOA	"BORBOREMA IMPERIAL TRANSPORTES LTDA"	008	S	BB	273	346	"TI TIP (CONDE BOA VISTA)"
2	BOA	"BORBOREMA IMPERIAL TRANSPORTES LTDA"	008	S	BB	274	347	"TI TIP / JOANA BEZERRA"
2	BOA	"BORBOREMA IMPERIAL TRANSPORTES LTDA"	008	S	BB	275	348	"TI TIP / CURADO V"
2	BOA	"BORBOREMA IMPERIAL TRANSPORTES LTDA"	008	S	BB	276	350	"CEASA / CURADO"
2	BOA	"BORBOREMA IMPERIAL TRANSPORTES LTDA"	008	S	BB	277	351	"TI TIP / CURADO II"
2	BOA	"BORBOREMA IMPERIAL TRANSPORTES LTDA"	008	S	BB	278	352	"CURADO II (BACURAU)"
2	BOA	"BORBOREMA IMPERIAL TRANSPORTES LTDA"	008	S	BB	279	360	"TOTÓ / BOA VIAGEM"
2	BOA	"BORBOREMA IMPERIAL TRANSPORTES LTDA"	008	S	BB	280	361	"TI TIP / CURADO IV (RUA 14)"
2	BOA	"BORBOREMA IMPERIAL TRANSPORTES LTDA"	008	S	BB	281	362	"CURADO IV (BACURAU)"
2	BOA	"BORBOREMA IMPERIAL TRANSPORTES LTDA"	008	S	BB	282	363	"TI TIP / CURADO IV (AV. 01)"
2	BOA	"BORBOREMA IMPERIAL TRANSPORTES LTDA"	008	S	BB	284	370	"TI TIP / TI AEROPORTO"
2	BOA	"BORBOREMA IMPERIAL TRANSPORTES LTDA"	008	S	BB	327	440	"CDU / CAXANGÁ / BOA VIAGEM"
2	BOA	"BORBOREMA IMPERIAL TRANSPORTES LTDA"	008	S	BB	388	512	"CASA AMARELA (PADRE LEMOS)"
2	BOA	"BORBOREMA IMPERIAL TRANSPORTES LTDA"	008	S	BB	394	518	"APIPUCOS / RIOMAR (OPCIONAL)"
2	BOA	"BORBOREMA IMPERIAL TRANSPORTES LTDA"	008	S	BB	417	620	"VASCO DA GAMA / BOA VIAGEM"
2	BOA	"BORBOREMA IMPERIAL TRANSPORTES LTDA"	008	S	BB	461	740	"BEBERIBE / BOA VIAGEM"
2	BOA	"BORBOREMA IMPERIAL TRANSPORTES LTDA"	008	S	BB	473	790	"DOIS UNIDOS / BOA VIAGEM"
2	BOA	"BORBOREMA IMPERIAL TRANSPORTES LTDA"	008	S	BB	539	910	"PIEDADE / TI RIO DOCE"
2	BOA	"BORBOREMA IMPERIAL TRANSPORTES LTDA"	008	S	BB	893	229	"MARCOS FREIRE (OPCIONAL)"
2	BOA	"BORBOREMA IMPERIAL TRANSPORTES LTDA"	008	S	BB	924	342	"CURADOS (OPCIONAL)"
2	BOA	"BORBOREMA IMPERIAL TRANSPORTES LTDA"	008	S	BB	932	3201	"MORENO / TI JABOATÃO (LINHA DE BLOQUEIO)"
2	BOA	"BORBOREMA IMPERIAL TRANSPORTES LTDA"	008	S	BB	933	3208	"NOSSA SENHORA DA CONCEIÇÃO / TI JABOATÃO (LINHA DE BLOQUEIO)"
2	BOA	"BORBOREMA IMPERIAL TRANSPORTES LTDA"	008	S	BB	934	3219	"TI TIP  / TI JABOATÃO (SANCHO) (LINHA DE BLOQUEIO) (AFO)"
2	BOA	"BORBOREMA IMPERIAL TRANSPORTES LTDA"	008	S	BB	936	3290	"TI JABOATÃO / BONANÇA (LINHA DE BLOQUEIO)"
2	BOA	"BORBOREMA IMPERIAL TRANSPORTES LTDA"	008	S	BB	950	7020	"CANDEIAS / TI TANCREDO NEVES (LINHA DE BLOQUEIO)"
2	BOA	"BORBOREMA IMPERIAL TRANSPORTES LTDA"	008	S	BB	951	7060	"TI TANCREDO NEVES/TI MACAXEIRA (LINHA DE BLOQUEIO) (TRC)"
2	BOA	"BORBOREMA IMPERIAL TRANSPORTES LTDA"	008	S	BB	956	7023	"TI TANCREDO NEVES / TI AEROPORTO (LINHA DE BLOQUEIO) (TCN)"
2	BOA	"BORBOREMA IMPERIAL TRANSPORTES LTDA"	008	S	BB	957	7024	"TI TANCREDO NEVES (CIRCULAR BOA VIAGEM) (LINHA DE BLOQUEIO)"
2	BOA	"BORBOREMA IMPERIAL TRANSPORTES LTDA"	008	S	BB	958	065	"PIEDADE / TI PRAZERES"
2	BOA	"BORBOREMA IMPERIAL TRANSPORTES LTDA"	008	S	BB	959	075	"TI PRAZERES / CURCURANA"
2	BOA	"BORBOREMA IMPERIAL TRANSPORTES LTDA"	008	S	BB	963	095	"IBURA DE BAIXO / BOA VIAGEM (JD. BAIXO)"
2	BOA	"BORBOREMA IMPERIAL TRANSPORTES LTDA"	008	S	BB	964	291	"TI JABOATÃO / MORENO (RECIFE OUTLET)"
2	BOA	"BORBOREMA IMPERIAL TRANSPORTES LTDA"	008	S	BB	980	7910	"PIEDADE / TI RIO DOCE (VALIDADOR MÓVEL)"
2	BOA	"BORBOREMA IMPERIAL TRANSPORTES LTDA"	008	S	BB	990	7026	"TI AEROPORTO / TI JOANA BEZERRA (VALIDADOR MÓVEL) (AER)"
2	BOA	"BORBOREMA IMPERIAL TRANSPORTES LTDA"	008	S	BB	994	858	"TI JOANA BEZERRA / TI AFOGADOS / TI BARRO"
2	BOA	"BORBOREMA IMPERIAL TRANSPORTES LTDA"	008	S	BB	1007	7021	"TI JOANA BEZERRA / SHOPPING RIOMAR (PRÉ-EMBARQUE)"
2	BOA	"BORBOREMA IMPERIAL TRANSPORTES LTDA"	008	S	BB	1026	4006	"TI BARRO / TI PRAZERES (JORDÃO) (PRÉ-EMBARQUE) (BAR)"
2	BOA	"BORBOREMA IMPERIAL TRANSPORTES LTDA"	008	S	BB	1034	4160	"TI TANCREDO NEVES/TI MACAXEIRA (PRÉ-EMBARQUE) (MAC) (BOA)"
2	BOA	"BORBOREMA IMPERIAL TRANSPORTES LTDA"	008	S	BB	1038	4126	"TI AEROPORTO / TI JOANA BEZERRA (PRÉ-EMBARQUE) (JOA)"
2	BOA	"BORBOREMA IMPERIAL TRANSPORTES LTDA"	008	S	BB	1039	4180	"TI JOANA BEZERRA/BOA VIAGEM (PRÉ-EMBARQUE)"
2	BOA	"BORBOREMA IMPERIAL TRANSPORTES LTDA"	008	S	BB	1042	4150	"TI PE-15 / BOA VIAGEM (PRÉ-EMBARQUE)"
2	BOA	"BORBOREMA IMPERIAL TRANSPORTES LTDA"	008	S	BB	1047	077	"LINHA ESPECIAL"
2	BOA	"BORBOREMA IMPERIAL TRANSPORTES LTDA"	008	S	BB	1054	066	"SHOPPING GUARARAPES / RECIFE ANTIGO"
2	BOA	"BORBOREMA IMPERIAL TRANSPORTES LTDA"	008	S	BB	1073	076	"LINHA ESPECIAL"
2	BOA	"BORBOREMA IMPERIAL TRANSPORTES LTDA"	008	S	BB	1074	078	"LINHA ESPECIAL"
2	BOA	"BORBOREMA IMPERIAL TRANSPORTES LTDA"	008	S	BB	1076	067	"LINHA ESPECIAL"
3	CAX	"CAXANGÁ EMPRESA DE TRANSPORTE COLETIVO S/A."	012	S	CA	27	027	"LINHA ESPECIAL (ANEL A)"
3	CAX	"CAXANGÁ EMPRESA DE TRANSPORTE COLETIVO S/A."	012	S	CA	28	028	"LINHA ESPECIAL (ANEL A)"
3	CAX	"CAXANGÁ EMPRESA DE TRANSPORTE COLETIVO S/A."	012	S	CA	29	029	"SHOPPING RIOMAR/OLINDA (LINHA ESPECIAL CARNAVAL)"
3	CAX	"CAXANGÁ EMPRESA DE TRANSPORTE COLETIVO S/A."	012	S	CA	47	047	"TI COSME E DAMIÃO / ARENA"
3	CAX	"CAXANGÁ EMPRESA DE TRANSPORTE COLETIVO S/A."	012	S	CA	48	048	"TI TIP / ARENA"
3	CAX	"CAXANGÁ EMPRESA DE TRANSPORTE COLETIVO S/A."	012	S	CA	71	080	"TI JOANA BEZERRA / BOA VIAGEM"
3	CAX	"CAXANGÁ EMPRESA DE TRANSPORTE COLETIVO S/A."	012	S	CA	74	100	"CIRCULAR (CONDE DA BOA VISTA /PREFEITURA)"
3	CAX	"CAXANGÁ EMPRESA DE TRANSPORTE COLETIVO S/A."	012	S	CA	75	101	"TI RECIFE / TI J. BEZERRA (BOA VISTA)"
3	CAX	"CAXANGÁ EMPRESA DE TRANSPORTE COLETIVO S/A."	012	S	CA	78	104	"TI J. BEZERRA / TI RECIFE (IMIP)"
3	CAX	"CAXANGÁ EMPRESA DE TRANSPORTE COLETIVO S/A."	012	S	CA	81	107	"TI RECIFE (CABUGÁ/PCR)"
3	CAX	"CAXANGÁ EMPRESA DE TRANSPORTE COLETIVO S/A."	012	S	CA	90	116	"TI RECIFE (PRÍNCIPE)"
3	CAX	"CAXANGÁ EMPRESA DE TRANSPORTE COLETIVO S/A."	012	S	CA	91	117	"TI RECIFE (PCR/CABUGÁ)"
3	CAX	"CAXANGÁ EMPRESA DE TRANSPORTE COLETIVO S/A."	012	S	CA	251	305	"TI AFOGADOS (BILHETERIA)"
3	CAX	"CAXANGÁ EMPRESA DE TRANSPORTE COLETIVO S/A."	012	S	CA	259	317	"BONGI (AGAMENON)"
3	CAX	"CAXANGÁ EMPRESA DE TRANSPORTE COLETIVO S/A."	012	S	CA	439	696	"CIRCULAR OLINDA"
3	CAX	"CAXANGÁ EMPRESA DE TRANSPORTE COLETIVO S/A."	012	S	CA	442	700	"BEBERIBE / AFOGADOS"
3	CAX	"CAXANGÁ EMPRESA DE TRANSPORTE COLETIVO S/A."	012	S	CA	443	710	"BEBERIBE / DERBY (JOANA BEZERRA)"
3	CAX	"CAXANGÁ EMPRESA DE TRANSPORTE COLETIVO S/A."	012	S	CA	444	711	"ALTO DO PASCOAL"
3	CAX	"CAXANGÁ EMPRESA DE TRANSPORTE COLETIVO S/A."	012	S	CA	445	712	"ALTO SANTA TEREZINHA"
3	CAX	"CAXANGÁ EMPRESA DE TRANSPORTE COLETIVO S/A."	012	S	CA	446	713	"BOMBA DO HEMETÉRIO"
3	CAX	"CAXANGÁ EMPRESA DE TRANSPORTE COLETIVO S/A."	012	S	CA	447	714	"ALTO JOSÉ BONIFÁCIO (AV. NORTE)"
3	CAX	"CAXANGÁ EMPRESA DE TRANSPORTE COLETIVO S/A."	012	S	CA	448	715	"ALTO SANTA TEREZINHA (BACURAU)"
3	CAX	"CAXANGÁ EMPRESA DE TRANSPORTE COLETIVO S/A."	012	S	CA	449	716	"CHÃ ALEGRIA"
3	CAX	"CAXANGÁ EMPRESA DE TRANSPORTE COLETIVO S/A."	012	S	CA	450	717	"JOSÉ AMARINO DOS REIS"
3	CAX	"CAXANGÁ EMPRESA DE TRANSPORTE COLETIVO S/A."	012	S	CA	453	721	"ÁGUA FRIA (CIRCULAR)"
3	CAX	"CAXANGÁ EMPRESA DE TRANSPORTE COLETIVO S/A."	012	S	CA	454	722	"CAMPINA DO BARRETO"
3	CAX	"CAXANGÁ EMPRESA DE TRANSPORTE COLETIVO S/A."	012	S	CA	455	723	CAJUEIRO
3	CAX	"CAXANGÁ EMPRESA DE TRANSPORTE COLETIVO S/A."	012	S	CA	456	724	"CHÃO DE ESTRELAS"
3	CAX	"CAXANGÁ EMPRESA DE TRANSPORTE COLETIVO S/A."	012	S	CA	457	725	"ALTO SANTA TEREZINHA (COMPLEMENTAR)"
3	CAX	"CAXANGÁ EMPRESA DE TRANSPORTE COLETIVO S/A."	012	S	CA	458	726	"ALTO SANTA TEREZINHA (CDE. B. VISTA)"
3	CAX	"CAXANGÁ EMPRESA DE TRANSPORTE COLETIVO S/A."	012	S	CA	459	730	"BEBERIBE / AV. NORTE"
3	CAX	"CAXANGÁ EMPRESA DE TRANSPORTE COLETIVO S/A."	012	S	CA	460	731	"BEBERIBE (ESPINHEIRO)"
3	CAX	"CAXANGÁ EMPRESA DE TRANSPORTE COLETIVO S/A."	012	S	CA	462	741	"DOIS UNIDOS"
3	CAX	"CAXANGÁ EMPRESA DE TRANSPORTE COLETIVO S/A."	012	S	CA	463	742	"LINHA DO TIRO"
3	CAX	"CAXANGÁ EMPRESA DE TRANSPORTE COLETIVO S/A."	012	S	CA	464	743	"ALTO JOSÉ BONIFÁCIO (J. BARROS)"
3	CAX	"CAXANGÁ EMPRESA DE TRANSPORTE COLETIVO S/A."	012	S	CA	465	744	"DOIS UNIDOS (BACURAU)"
3	CAX	"CAXANGÁ EMPRESA DE TRANSPORTE COLETIVO S/A."	012	S	CA	466	745	"ALTO JOSÉ BONIFÁCIO (BACURAU)"
3	CAX	"CAXANGÁ EMPRESA DE TRANSPORTE COLETIVO S/A."	012	S	CA	467	746	"ALTO DO CAPITÃO"
3	CAX	"CAXANGÁ EMPRESA DE TRANSPORTE COLETIVO S/A."	012	S	CA	470	760	"DOIS UNIDOS / DERBY"
3	CAX	"CAXANGÁ EMPRESA DE TRANSPORTE COLETIVO S/A."	012	S	CA	472	780	"ALTO SANTA TEREZINHA / DERBY"
3	CAX	"CAXANGÁ EMPRESA DE TRANSPORTE COLETIVO S/A."	012	S	CA	476	800	"DOIS UNIDOS / AFOGADOS"
3	CAX	"CAXANGÁ EMPRESA DE TRANSPORTE COLETIVO S/A."	012	S	CA	477	801	"TI XAMBÁ (BILHETERIA)"
3	CAX	"CAXANGÁ EMPRESA DE TRANSPORTE COLETIVO S/A."	012	S	CA	478	810	"TI XAMBÁ / ENCRUZILHADA"
3	CAX	"CAXANGÁ EMPRESA DE TRANSPORTE COLETIVO S/A."	012	S	CA	479	811	"CAMPO GRANDE (TERM. SÍTIO NOVO)"
3	CAX	"CAXANGÁ EMPRESA DE TRANSPORTE COLETIVO S/A."	012	S	CA	480	812	"SITIO NOVO (AV.NORTE)"
3	CAX	"CAXANGÁ EMPRESA DE TRANSPORTE COLETIVO S/A."	012	S	CA	481	820	"TI XAMBÁ (CABUGÁ)"
3	CAX	"CAXANGÁ EMPRESA DE TRANSPORTE COLETIVO S/A."	012	S	CA	482	821	"JARDIM BRASIL I (EST. DE BELÉM)"
3	CAX	"CAXANGÁ EMPRESA DE TRANSPORTE COLETIVO S/A."	012	S	CA	483	822	"JARDIM BRASIL I (CRUZ CABUGÁ)"
3	CAX	"CAXANGÁ EMPRESA DE TRANSPORTE COLETIVO S/A."	012	S	CA	484	823	"JARDIM BRASIL II (EST. DE BELÉM)"
3	CAX	"CAXANGÁ EMPRESA DE TRANSPORTE COLETIVO S/A."	012	S	CA	485	824	"JARDIM BRASIL II (CRUZ CABUGÁ)"
3	CAX	"CAXANGÁ EMPRESA DE TRANSPORTE COLETIVO S/A."	012	S	CA	486	825	"JARDIM BRASIL / TI JOANA BEZERRA"
3	CAX	"CAXANGÁ EMPRESA DE TRANSPORTE COLETIVO S/A."	012	S	CA	488	827	"JARDIM BRASIL (BACURAU)"
3	CAX	"CAXANGÁ EMPRESA DE TRANSPORTE COLETIVO S/A."	012	S	CA	489	830	"CAIXA D´ÁGUA / DERBY"
3	CAX	"CAXANGÁ EMPRESA DE TRANSPORTE COLETIVO S/A."	012	S	CA	490	831	"AGUAZINHA / TI XAMBÁ"
3	CAX	"CAXANGÁ EMPRESA DE TRANSPORTE COLETIVO S/A."	012	S	CA	492	838	"ALTO DA CONQUISTA"
3	CAX	"CAXANGÁ EMPRESA DE TRANSPORTE COLETIVO S/A."	012	S	CA	493	840	"ALTO DA BONDADE / JOANA BEZERRA"
3	CAX	"CAXANGÁ EMPRESA DE TRANSPORTE COLETIVO S/A."	012	S	CA	494	841	"NOVA OLINDA / TI XAMBÁ"
3	CAX	"CAXANGÁ EMPRESA DE TRANSPORTE COLETIVO S/A."	012	S	CA	495	842	"ÁGUAS COMPRIDAS / TI XAMBÁ"
